LOADX,1000,1500,2000,2500,3000,3500,4000,4500,5000,6000,6500
2.5,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.97,0.96,0.96
2.27,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.97,0.96,0.96
2.05,1,1,1,1,1,0.99,0.99,0.99,0.97,0.97,0.97
1.82,1,1,1,1,1,1,1,0.99,0.98,0.98,0.99
1.59,1,1,1,1.01,1.01,1.01,1.01,0.99,0.99,0.98,0.99
1.37,1.03,1.05,1.03,1.02,1.02,1.02,1.01,0.99,0.99,0.99,0.99
1.14,1,1.05,1.04,1.01,1.01,1.02,1.01,0.99,0.99,0.99,1
0.94,0.75,1,1.04,1,0.96,0.97,1,1,1,1,1
0.79,0.65,0.98,0.98,0.96,0.91,0.94,0.99,1,1,1,1
0.65,0.65,0.83,0.92,0.87,0.88,0.92,0.95,0.95,0.95,0.95,0.95
0.52,0.65,0.83,0.83,0.83,0.85,0.85,0.88,0.88,0.88,0.88,0.88
0.38,0.64,0.69,0.77,0.78,0.78,0.79,0.8,0.8,0.8,0.8,0.8
0.25,0.64,0.66,0.67,0.72,0.75,0.75,0.78,0.78,0.78,0.78,0.78
